Date,Site_ID,Species,Site,Ind_No,Sex,Juv_Adult,Age,Basal_cm,Height_in,Growth_Rate,Canopy_in_1,Canopy_in_2,Canopy_area_in2,Fruit_no,Total_Est,Total_Fruit_No,Huber_Value,HV_m2_cm2,Total_Lvs,WD,Ks,Huber_Value_Units,KL_Units,TotalAssim,BW_fresh_avg,BW_dry_avg,Stem_Diam_Avg_mm,Photo,Trmmol,Cond,WUE_Intrinsic,photo_area,Thick_cm,Area_cm2,LMA_g.cm2,LWR,Hole_mass,LD_g.cm3,KS_In_Ex,Counts_Avg_Top,SP_Length_Avg_Top,Counts_Avg_Bottom,SP_Length_Avg_Bottom,Density_mm2_Top,Length_mm_Top,SPI_Top,Density_mm2_Bottom,Length_mm_Bottom,SPI_Bottom,Stom_Notes
July_15_2016,Jonaskop,PRPU,Jonaskop,14,mon,Adult,10,5.4,56,5.6,36,58,1639.911365,56,Total,56,6465.49,0.646549,22,0.530386972,0.374963908,0.000154904,5.80835E-05,77071.56029,1.349,1.0195,3.265,11.93870354,0.895736416,0.090683967,131.6517565,6,0.060266667,16.21646,0.026516268,2.694749333,0.0077,0.439982321,Include,21.33333333,0.8,20,0.766666667,67.06776202,0.04,0.107308419,62.8760269,0.038333333,0.092392828,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,15,mon,Adult,9,5.6,55,6.111111111,58,51,2323.207767,115,Total,115,11843.35,1.184335,33,0.479349696,0.57121152,8.45202E-05,4.82789E-05,141670.9757,1.2705,0.919,4.985,11.97406345,1.313000961,0.150707638,79.45226671,6,0.073066667,24.17056,0.030781248,1.954800995,0.0091,0.421276202,Include,17.33333333,0.833333333,17.66666667,0.833333333,54.49255664,0.041666667,0.094605133,55.54049044,0.041666667,0.096424462,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,16,mon,Adult,10,5.5,53,5.3,78,63,3859.446575,189,Total,189,8341.99,0.834199,35,0.508567957,1.148926119,0.000119876,0.000137728,105279.436,0.916,0.69,4.13,12.62042907,1.054730809,0.061662577,204.66918,6,0.053166667,15.61319,0.024722686,2.088470556,0.0075,0.465003496,Include,28,0.6,25,0.633333333,88.02643766,0.03,0.079223794,78.59503363,0.031666667,0.078813353,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,17,mon,Adult,9,7.2,72,8,59,57,2641.294024,103,Total,103,5553.05,0.555305,24,0.476607126,0.305985517,0.000180081,5.51022E-05,65926.18258,0.9615,0.9295,3.82,11.87206213,1.386288335,0.149143801,79.60144539,6,0.064833333,12.48597,0.029152721,2.176248964,0.0089,0.449656367,Include,20.66666667,0.766666667,21,0.9,64.97189447,0.038333333,0.095472589,66.01982825,0.045,0.133690152,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,18,mon,Adult,9,6.5,63,7,49,47,1808.77197,100,Total,100,8053.33,0.805333,36,0.531898726,0.745661984,0.000124308,9.2692E-05,97667.61932,1.024,1.147,4.565,12.14089709,1.24116473,0.155882108,77.88512258,6,0.0654,17.1841,0.028980278,2.04682034,0.0081,0.443123517,Include,21.66666667,0.8,24.33333333,0.833333333,68.11569582,0.04,0.108985113,76.49916605,0.041666667,0.132811052,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,19,mon,Adult,10,2.95,50,5,35,32,879.645943,30,Total,30,8882.31,0.888231,29,0.550037208,0.823678544,0.000112583,9.27325E-05,104262.4185,1.316,1.087,3.98,11.73821441,1.152631369,0.120068073,97.76299491,6,0.063533333,19.31819,0.026141165,2.652566667,0.0079,0.411455905,Include,18.66666667,0.866666667,19.66666667,0.833333333,58.68429178,0.043333333,0.110196059,61.82809313,0.041666667,0.107340439,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRPU,Jonaskop,20,mon,Adult,8,3.5,41,5.125,45,43,1519.745446,32,Total,32,10541.08,1.054108,45,0.528531703,0.48987341,9.49758E-05,4.65261E-05,122803.9721,1.327,1.191,4.355,11.66340826,1.095300036,0.106130169,109.8971986,6,0.051866667,10.48799,0.024980954,2.223460826,0.0071,0.481637927,Include,25.33333333,0.7,25.33333333,0.666666667,79.6429674,0.035,0.097562635,79.6429674,0.033333333,0.088492186,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRRE,Jonaskop,1,mon,Adult,7,6.8,75,10.71428571,79,71,4405.298298,65,Total,65,6090.25,0.609025,80,0.556919377,0.539546969,0.000164197,8.85919E-05,90379.16396,1.5365,1.1285,5.64,14.83996738,1.379233379,0.210526812,70.48967891,2.77,0.055033333,5.600925,0.02890594,13.65773333,.,0.525244219,Include,10.66666667,1.133333334,11.66666667,1.2,33.53388102,0.056666667,0.107681018,36.67768237,0.06,0.132039657,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRRE,Jonaskop,2,mon,Adult,9,6.9,66,7.333333333,56,54,2375.044046,84,Total,84,5741.58,0.574158,30,0.523041517,0.422101991,0.000174462,7.36407E-05,63387.54067,0.9425,0.782,2.965,11.05871354,1.08028709,0.123687098,89.40878813,4.03,0.058833333,5.42163,0.032204337,13.28811881,.,0.547382502,Exclude,10.83333333,1.216666667,10.33333333,1.233333334,34.05784789,0.060833333,0.126037689,32.48594722,0.061666667,0.123536838,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRRE,Jonaskop,3,mon,Adult,9,7,79,8.777777778,75,63,3711.006322,127,Total,127,7845.14,0.784514,90,0.553229194,0.714549623,0.000127468,9.10819E-05,83165.67843,1.324,1.0345,5.28,10.60092197,1.510113605,0.177287098,59.79522531,3.31,0.05265,5.06898,0.02820094,14.14993269,.,0.535630389,Include,10.83333333,1.066666667,10.33333334,1.183333334,34.05784789,0.053333333,0.096875656,32.48594725,0.059166667,0.113723375,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRRE,Jonaskop,4,mon,Adult,9,8.8,71,7.888888889,59,80,3707.079331,120,Total,120,6941.45,0.694145,35,0.541306459,0.581873159,0.00014432,8.39758E-05,72039.9778,1.042,0.7725,2.795,10.39679908,1.504266099,0.178828886,58.13825335,3.17,0.048866667,6.36554,0.027680291,13.95882806,.,0.566445242,Include,11.16666667,1.15,10.66666667,1.183333333,35.1057817,0.0575,0.116068491,33.53388102,0.059166667,0.117391871,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRRE,Jonaskop,5,mon,Adult,11,7.2,95,8.636363636,76,95,5670.57474,178,Total,178,13237.57,1.323757,88,0.523500326,0.96588808,7.55426E-05,7.29657E-05,127002.4076,0.586,0.6545,3.64,9.594086674,1.097365172,0.107118517,89.56515589,3.43,0.05055,6.98691,0.028095396,13.15494419,.,0.555794184,Include,10.33333333,1.133333333,9.5,1.2,32.48594722,0.056666667,0.104315986,29.86611278,0.06,0.107518006,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRRE,Jonaskop,6,mon,Adult,10,6.1,79,7.9,64,56,2814.867018,56,Total,56,9927.59,0.992759,99,0.52046897,0.812695093,0.000100826,8.19407E-05,85536.36394,1.409,0.81,5.215,8.624282818,1.060488283,0.116565006,73.98689464,3.28,0.056233333,5.89698,0.031541569,12.46412705,.,0.560905202,Include,11.16666667,1.1,9.833333334,1.2,35.1057817,0.055,0.10619499,30.91404656,0.06,0.111290568,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRRE,Jonaskop,7,mon,Adult,10,6.6,96,9.6,67,67,3525.652355,61,Total,61,11212.64,1.121264,78,0.586286079,0.576014447,8.92918E-05,5.14334E-05,134725.2482,1.326,0.9325,4.175,12.02986486,1.160593457,0.118123585,101.8413457,3.44,0.057166667,7.62101,0.029320261,12.97863411,.,0.51289086,Include,11.5,1.183333333,11.33333333,1.233333334,36.15371547,0.059166667,0.126563111,35.62974857,0.061666667,0.135492016,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRRE,Jonaskop,8,mon,Adult,9,8.4,85,9.444444444,71,73,4070.718681,91,Total,91,13937.18,1.393718,109,0.533814328,1.143348103,7.18298E-05,8.21265E-05,195038.9129,1.3985,1.28,4.525,14.00960546,1.170794935,0.147675153,94.86772267,3.23,0.06115,6.792775,0.032026675,13.24868542,.,0.523739575,Include,11,1.333333333,8.833333333,1.416666667,34.5818148,0.066666667,0.153696955,27.77024521,0.070833333,0.139333348,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRRE,Jonaskop,9,mon,Adult,7,5.5,58,8.285714286,43,58,1958.78302,49,Total,49,12780.69,1.278069,96,0.585809152,0.704789293,7.8243E-05,5.51449E-05,174098.2173,1.512,1.0075,4.65,13.62197291,1.106226853,0.155495594,87.60359416,4.25,0.068016667,8.94205,0.036222119,12.71026846,.,0.532547692,Include,11.33333334,1.291666667,10.16666667,1.316666667,35.6297486,0.064583333,0.148611929,31.96198035,0.065833333,0.138524111,scope at 20x in Holsinger lab
July_15_2016,Jonaskop,PRRE,Jonaskop,10,mon,Adult,10,10.3,84,8.4,90,99,6997.897636,134,Total,134,14710.82,1.471082,108,0.578767114,1.211679156,6.80625E-05,8.24699E-05,156361.7076,0.961,0.7025,3.985,10.64236319,1.178245664,0.169550831,62.76798012,3.52,0.051516667,6.358405,0.031257839,13.39513962,.,0.606751966,Include,11.83333333,1.083333334,12.66666667,1.15,37.20164924,0.054166667,0.109150672,39.82148371,0.0575,0.131659781,scope at 20x in Holsinger lab
July_16_2016,Jonaskop,PRRE,Jonaskop,11,mon,Adult,6,8,106,.,76,90,5372.123438,83,Total,83,8910.14,0.891014,63,0.599135176,0.860130635,0.000112341,9.66279E-05,69628.25766,1.527,1.129,5.135,7.822103634,0.908825324,0.109669529,71.32431137,5.55,0.065483333,7.80802,0.037960968,15.57121445,.,0.579704274,Include,9.833333332,1.25,8.833333334,1.3,30.91404656,0.0625,0.120757994,27.77024522,0.065,0.117329286,scope at 20x in Holsinger lab
July_16_2016,Jonaskop,PRRE,Jonaskop,12,mon,Adult,8,9.2,67,8.375,89,78,5452.23405,101,Total,101,12507.11,1.250711,67,0.514147484,0.720234714,7.99545E-05,5.7586E-05,109390.0581,0.9555,0.792,3.78,8.746227168,1.114555401,0.155797318,56.13849635,4.05,0.05125,9.124755,0.030915899,14.67858728,.,0.603237054,Include,11.83333334,1.183333334,9.833333332,1.366666667,37.20164927,0.059166667,0.130231607,30.91404656,0.068333333,0.144351423,scope at 20x in Holsinger lab
July_16_2016,Jonaskop,PRRE,Jonaskop,13,mon,Adult,10,6.2,71,7.1,37,68,1976.061779,95,Total,95,6478.78,0.647878,33,0.539189824,1.51408071,0.00015435,0.000233698,69021.81143,1.32,0.964,3.03,10.65352171,1.169013034,0.152599154,69.81376653,4.22,0.055733333,6.873855,0.032907299,9.981280515,.,0.590441971,Include,11.16666667,1.2,11.5,1.233333334,35.1057817,0.06,0.126380814,36.15371547,0.061666667,0.137484546,scope at 20x in Holsinger lab
July_16_2016,Jonaskop,PRRE,Jonaskop,14,mon,Adult,9,8.4,57,6.333333333,66,65,3369.358121,132,Total,132,8843.57,0.884357,56,0.560191212,0.99738045,0.000113249,0.000112952,102989.2207,1.021,0.7525,3.285,11.66338175,1.58358462,0.20061173,58.13908165,3.1,0.054266667,6.282535,0.031316976,16.32749561,.,0.577094149,Include,11.83333334,1.066666667,12.83333334,1.1,37.20164927,0.053333333,0.105818025,40.34545062,0.055,0.122044988,scope at 20x in Holsinger lab
July_16_2016,Jonaskop,PRRE,Jonaskop,15,mon,Adult,8,5.7,57,7.125,54,35,1484.402529,77,Total,77,7973.56,0.797356,54,0.551203159,0.719433665,0.000125415,9.02275E-05,82278.16883,1.0175,0.7315,3.56,10.31887993,1.9630295,0.230709047,44.72681095,3.02,0.054033333,5.84,0.028732877,17.77630118,.,0.53176207,Include,11.83333333,1.316666667,11.16666667,1.266666667,37.20164924,0.065833333,0.161232981,35.1057817,0.063333333,0.140813191,scope at 20x in Holsinger lab
July_16_2016,Jonaskop,PRRE,Jonaskop,16,mon,Adult,11,10,88,8,70,79,4343.251844,121,Total,121,9596.09,0.959609,50,0.566013393,0.958006787,0.000104357,9.99746E-05,100219.1434,0.9675,0.752,3.525,10.45855764,1.232298237,0.146267188,71.50310184,4.26,0.055866667,7.560135,0.029860578,12.07176441,.,0.534497216,Include,10.66666667,1.116666667,10.5,1.2,33.53388102,0.055833333,0.104537217,33.00991412,0.06,0.118835691,scope at 20x in Holsinger lab
July_16_2016,Jonaskop,PRRE,Jonaskop,17,mon,Adult,9,6.6,71,7.888888889,59,62,2872.986482,71,Total,71,12797.07,1.279707,126,0.584535062,1.7183194,7.81429E-05,0.000134274,92078.41929,1.151,0.9225,5.53,7.195271222,1.181203421,0.167316351,43.00399321,3.89,0.05625,6.58208,0.029056165,11.51512865,.,0.516554044,Include,10.16666667,1.266666667,8.833333334,1.3,31.96198035,0.063333333,0.128203055,27.77024522,0.065,0.117329286,scope at 20x in Holsinger lab
July_16_2016,Jonaskop,PRRE,Jonaskop,18,mon,Adult,10,6.6,80,8,60,62,2921.681168,87,Total,87,13399.09,1.339909,135,0.553247043,1.701963364,7.47375E-05,0.0001272,109490.9219,1.01,0.7025,3.535,8.183077816,1.214862386,0.152004569,53.83442004,3,0.0507,4.708195,0.028800846,23.03221074,.,0.568064024,Include,10.66666667,1.183333334,9.666666667,1.266666667,33.53388102,0.059166667,0.117391871,30.39007967,0.063333333,0.121897986,scope at 20x in Holsinger lab
July_16_2016,Jonaskop,PRRE,Jonaskop,19,mon,Adult,10,7,75,7.5,65,56,2858.849315,63,Total,63,8638.68,0.863868,54,0.557227237,1.028085123,0.000115903,0.000119158,113656.6806,1.501,0.9835,4.015,13.17310299,1.826254452,0.215899856,61.01487622,3.53,0.05185,8.515,0.030364063,12.56843521,.,0.585613558,Include,10.5,1.283333334,11.33333333,1.366666667,33.00991412,0.064166667,0.135913737,35.62974857,0.068333333,0.166371132,scope at 20x in Holsinger lab
July_16_2016,Jonaskop,PRRE,Jonaskop,20,mon,Adult,11,9.2,84,7.636363636,63,72,3562.566069,129,Total,129,7992.43,0.799243,44,0.590481121,0.994347188,0.00012527,0.000124562,59715.47371,1.1045,0.809,4.135,7.480535887,1.100373232,0.133932716,55.85293952,4.18,0.05495,9.804515,0.0313937,16.38664247,.,0.571313922,Include,11.16666667,1.133333333,11.33333334,1.283333333,35.1057817,0.056666667,0.112728566,35.6297486,0.064166667,0.146700541,scope at 20x in Holsinger lab
July_16_2016,Jonaskop,LDSA,Jonaskop,1,F,Adult,15,1.933333333,32,2.133333333,41,36,1159.247689,119_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,2,F,Adult,12,1.4,29,2.416666667,52,35,1429.424657,79_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,3,M,Adult,14,1.1,26,1.857142857,34,41,1094.84504,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,4,F,Adult,14,3.2,57,4.071428571,89,71,4962.930995,117_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,5,F,Adult,15,2.766666667,48,3.2,88,79,5460.088032,85_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,6,M,Adult,15,1.8,38,2.533333333,30,32,753.9822369,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,7,F,Adult,13,2.5,34,2.615384615,36,30,848.2300165,96_all,Total,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,8,F,Adult,12,1.466666667,36,3,58,37,1685.464459,67_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,9,M,Adult,15,2.3,39,2.6,40,45,1413.716694,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,10,F,Adult,15,1.766666667,56,3.733333333,75,79,4653.484118,112_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,11,F,Adult,13,2.6,36,2.769230769,66,60,3110.176727,97_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,12,M,Adult,12,1.7,25,2.083333333,52,54,2205.398043,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,13,F,Adult,15,3.433333333,54,3.6,60,65,3063.052837,171_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,14,F,Adult,13,2.3,40,3.076923077,41,47,1513.462261,134_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,15,M,Adult,11,2.15,29,2.636363636,42,41,1352.455637,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,16,F,Adult,14,2.4,47,3.357142857,60,59,2780.309498,88_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,17,F,Adult,14,1.833333333,41,2.928571429,67,61,3209.922294,109_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,18,M,Adult,15,2.033333333,37,2.466666667,87,79,5398.041577,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,19,F,Adult,15,2.433333333,40,2.666666667,61,66,3162.013006,123_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,20,F,Adult,14,2.233333333,40,2.857142857,72,71,4014.955411,96_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_16_2016,Jonaskop,LDSA,Jonaskop,21,M,Adult,12,1.4,26,2.166666667,34,21,560.7742887,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
July_18_2016,Jonaskop,LDSA,Jonaskop,22,F,Adult,13,1.833333333,45,3.461538462,48,44,1658.760921,83_est,Estimate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,missing,.,.,.,.,.,.,.,.,.,.,.
